review,cleaned_review,sentiment_nb,sentiment_nn,sentiment_final,confidence
"Laptop tergolong ringan,tidak terlalu besar...mantabs",laptop tergolong ringan tidak terlalu besar mantabs,negative,positive,positive,0.6803709212067326
"pengiriman cepat, spek barang sesuai, packing aman",pengiriman cepat spek barang sesuai packing aman,positive,positive,positive,0.6672017218652837
manntab respon cepet barang ok dan original,manntab respon cepet barang ok dan original,neutral,neutral,neutral,0.6493597145082702
"Barang cepat sampai dan sesuai informasi, Admin fast respon dan sangat membantu, recommended",barang cepat sampai dan sesuai informasi admin fast respon dan sangat membantu recommended,neutral,negative,negative,0.6092402125784897
"spek sesuai deskripsi, pengiriman gercep, seller responsif",spek sesuai deskripsi pengiriman gercep seller responsif,negative,negative,negative,0.7232299912106457
Spesifikasi ok bgt plus hrg worth it dan udah plus RAM 32 gb. Terima kasih utk respon seller yg cepat sehingga bisa dikirim di hari yg sama.,spesifikasi ok bgt plus hrg worth it dan udah plus ram gb terima kasih utk respon seller yg cepat sehingga bisa dikirim di hari yg sama,positive,negative,negative,0.7993425673212606
"luar biasa, puas belanja di sini",luar biasa puas belanja di sini,neutral,neutral,neutral,0.8136448896302011
"sesuai pesanan, semoga tidak ada kendala",sesuai pesanan semoga tidak ada kendala,positive,negative,negative,0.5705812780610517
"Produk sampai dengan selamat lebih cepat dari perkiraan pengiriman, dibungkus rapi. Laptopnya lebih ringan dari dugaan, kirain bakal gede dan berat tipikal gaming laptop.... ",produk sampai dengan selamat lebih cepat dari perkiraan pengiriman dibungkus rapi laptopnya lebih ringan dari dugaan kirain bakal gede dan berat tipikal gaming laptop,positive,negative,negative,0.5059360106353776
"barang sesuai, seller responsif, komunikatif dan ramah, pengiriman ok dan barang aman. terima kasih.
catatan; jangan lupa baca informasi kebijakan toko terkait pengiriman... ",barang sesuai seller responsif komunikatif dan ramah pengiriman ok dan barang aman terima kasih catatan jangan lupa baca informasi kebijakan toko terkait pengiriman,positive,positive,positive,0.7568484973869651
mantaapp rekomended seller ramah dan responsif,mantaapp rekomended seller ramah dan responsif,positive,neutral,neutral,0.49015053082978693
"Aman, kirim packing kayu ke mataram sampai dengan selamat",aman kirim packing kayu ke mataram sampai dengan selamat,positive,positive,positive,0.7361343074959107
"barang sesuai dgn yg diharapkan, semoga pelayanan service center nya jga sama OK nya. karena dlm waktu dkat mau minta pindahkan HDD dari laptop lama ke laptop baru beli i... ",barang sesuai dgn yg diharapkan semoga pelayanan service center nya jga sama ok nya karena dlm waktu dkat mau minta pindahkan hdd dari laptop lama ke laptop baru beli i,neutral,neutral,neutral,0.9255819025213248
"kartu garansi, tas, charger dapet bonus screen cleaner lengkap, pengiriman sesuai estimasi",kartu garansi tas charger dapet bonus screen cleaner lengkap pengiriman sesuai estimasi,neutral,positive,positive,0.5652918447541805
"Barang bagus dan original, ukuran layar besar dan pas di genggaman tangan yang besar.",barang bagus dan original ukuran layar besar dan pas di genggaman tangan yang besar,neutral,positive,positive,0.5574519905167159
"hu huuu keren banget dah pokoknya, bisa request bentuk",hu huuu keren banget dah pokoknya bisa request bentuk,negative,positive,positive,0.5380094301497496
"lumayan cepet pengirimannya, sesuai ekspetasi",lumayan cepet pengirimannya sesuai ekspetasi,positive,negative,negative,0.5909034921136576
"Respon admin cepat, dan pengiriman lancar, barang juga bagus , recomended seller.",respon admin cepat dan pengiriman lancar barang juga bagus recomended seller,positive,positive,positive,0.4616426725265309
barang sudah diterima dan berfungsi dengan normal,barang sudah diterima dan berfungsi dengan normal,neutral,neutral,neutral,0.9381930598726949
"packing rapi dan sangat aman untuk luar kota seperti saya , barang sesuai spek dan original .. pelayanan fast respon",packing rapi dan sangat aman untuk luar kota seperti saya barang sesuai spek dan original pelayanan fast respon,positive,positive,positive,0.7976995960130702
"Barangnya mendarat dengan.
Kualitas bagus.
semoga awet.
terima kasih MSI",barangnya mendarat dengan kualitas bagus semoga awet terima kasih msi,positive,positive,positive,0.9985166911857903
"Paket telah diterima dengan baik  &  sesuai penjelasan deskripsi di produk, Packing rapi Terimakasih.",paket telah diterima dengan baik sesuai penjelasan deskripsi di produk packing rapi terimakasih,positive,positive,positive,0.8697121709745017
"pengririman aman. sampai luar pulau dengan selamat. segel dan nyala lancar. 

mantap claw ini batere kuat tdp rendah game tetep lancar. sbagai mini pc gaming ke monitor i... ",pengririman aman sampai luar pulau dengan selamat segel dan nyala lancar mantap claw ini batere kuat tdp rendah game tetep lancar sbagai mini pc gaming ke monitor i,positive,positive,positive,0.9999096794029529
Produk dikirim di hari yg sama dan diterima dalam keadaan baik. Selama ini tidak ada masalah.,produk dikirim di hari yg sama dan diterima dalam keadaan baik selama ini tidak ada masalah,positive,negative,positive,0.5516714794431467
oh my god... ini yang papa cari selama ini...,oh my god ini yang papa cari selama ini,positive,negative,positive,0.6293267491273483
"sesuai pesanan. dus ada yg penyok.,tapi untung gak tembus ke laptop.",sesuai pesanan dus ada yg penyok tapi untung gak tembus ke laptop,negative,negative,negative,0.6782561743108065
"Pengiriman cepat, spek gahar harga murah",pengiriman cepat spek gahar harga murah,neutral,neutral,neutral,0.6161977831283787
Bagus,bagus,positive,positive,positive,0.8559192427622198
"Performanya bagus, layanan penjual juga cepat tanggap",performanya bagus layanan penjual juga cepat tanggap,negative,positive,positive,0.4444136646481958
mantap fast respon di kirim key langsung,mantap fast respon di kirim key langsung,positive,negative,positive,0.550362532860565
"Barang cocok, cepat sampai, admin responsif... mantap 👌",barang cocok cepat sampai admin responsif mantap,neutral,positive,positive,0.6511912731332121
"pengiriman tepat, respon cepat , barang ORI",pengiriman tepat respon cepat barang ori,negative,negative,negative,0.5212671474552932
"pelayanan terbaik, barang sesuai hingga pengiriman cepat.",pelayanan terbaik barang sesuai hingga pengiriman cepat,neutral,negative,negative,0.5922305937718585
"packing tebal, response seller cepat dan informatif, barang sesuai deskripsi dan mulus, sementara blum ada kendala dgn unit yg diterima",packing tebal response seller cepat dan informatif barang sesuai deskripsi dan mulus sementara blum ada kendala dgn unit yg diterima,negative,negative,negative,0.8514465318019196
"Sesuai deskripsi packing aman, fast response, recommended seller",sesuai deskripsi packing aman fast response recommended seller,positive,negative,negative,0.5420268374837907
"mendarat selamat, sesuai pesanan, mantaps.",mendarat selamat sesuai pesanan mantaps,neutral,neutral,neutral,0.7591287899141528
"Untuk spesifikasi yang cukup tinggi ini, harganya tergolong terjangkau",untuk spesifikasi yang cukup tinggi ini harganya tergolong terjangkau,positive,negative,negative,0.6082966447775542
Joss,joss,positive,neutral,neutral,0.46224870949323654
Barang original dan sesuai spek… proses cepat… reques instal smua dibantu… makasih ya,barang original dan sesuai spek proses cepat reques instal smua dibantu makasih ya,positive,positive,positive,0.6988993237961445
"Is gud, cepat dan semua jenis ruang (storage, ram, ukuran layar dan keyboard) luas dan memuaskan",is gud cepat dan semua jenis ruang storage ram ukuran layar dan keyboard luas dan memuaskan,neutral,neutral,neutral,0.8040670568730242
